Store,email
PharmaChoice - Etobicoke - Rexdale Blvd (Woodbine Pharmacy),pch601@pharmachoice.com
PharmaChoice - Windsor (Health First),pch609@pharmachoice.com
PharmaChoice - Brampton - Kings Cross Rd (Kings Cross),pch619@pharmachoice.com
PharmaChoice - Etobicoke - Rathburn Rd (HealthPlex),pch620@pharmachoice.com
PharmaChoice - London - Main St E (Greenhills Pharmacy),pch627@pharmachoice.com
PharmaChoice - Brampton - Gore Rd (Superhealth),pch632@pharmachoice.com
PharmaChoice - Ottawa - Russell Rd,pch637@pharmachoice.com
PharmaChoice Pharmacy - Ancaster - Stone Church Rd W (People's),pch639@pharmachoice.ca
PharmaChoice - Brantford (Colborne),pch650@pharmachoice.com
PharmaChoice - Niagara Falls - Victoria Ave (Victoria Medical),pch658@pharmachoice.com
PharmaChoice - Markham - Church St (Dale's Pharmacy),pch673@pharmachoice.com
PharmaChoice - Etobicoke - Kipling Ave (Kipling Heights),pch674@pharmachoice.com
PharmaChoice - Mississauga - Lakeshore Rd W,pch675@pharmachoice.com
PharmaChoice - Windsor - Park St W (Downtown Windsor Pharmacy),pch681@pharmachoice.com
PharmaChoice - Windsor (Clinix+ Pharmacy),pch700@pharmachoice.com
PharmaChoice - Windsor - 5415 Tecumseh Rd E (Central Drug Mart),pch705@pharmachoice.com
PharmaChoice - Leamington (Central Drug Leamington),pch726@pharmachoice.com
PharmaChoice - Windsor - 3691 Tecumseh Rd E (Central Mall),pch729@pharmachoice.com
PharmaChoice Pharmacy - Ancaster - Wilson St E (Rastin's Pharmacy),pch730@pharmachoice.com
PharmaChoice - Tecumseh (Oasis),PCPBayview@gmail.com
Little Avenue Pharmacy,pcrx@hoopershealth.com
PharmaChoice - Mississauga - Drew Rd (Drewport),pdecoste@carefor.ca
PharmaChoice - St Catharines - Lakeshore Rd (Port Dalhousie),peacemedicalpharmacy@gmail.com
PharmaChoice - West Elgin,pecarskiej@sfmhosp.com
Peace Medical Pharmacy,peelhealth@peelregion.ca
Health Care Centre,peninsulaptsports@gmail.com
Diagnostic Imaging,penny@otpenny.com
Dental Services and Clinic Locations for Children and Youth,pephysio@bmts.com
Immunization,pephysio3@bmts.com
Peninsula Physiotherapy and Sports Rehabilitation,perth@novohealthnet.com
Peninsula Physiotherapy and Sports Rehabilitation,petawawa@conwayspharmacy.ca
Penny Doncaster Occupational Therapy - Windsor,peter@drburgess.com
OHIP-Funded Physiotherapy Clinic,peterb@sprucelodge.on.ca
Physiotherapy III - Port Elgin,peterborough.physio@lifemark.ca
Back on Track Physiotherapy - Perth,peterborough@we-fix-u.com
Burgess Chiropractic & Wellness Centre,petergilgancentre@wchospital.ca
Spruce Lodge Continuum of Care,peterstreetpharmacy@gmail.com
Peterborough Physiotherapy and Sports Injuries Clinic,petroliafootclinic@cogeco.net
We-Fix-U Physiotherapy and Foot Health Centre - Peterborough,petroliarehab@pthealth.ca
Peter Gilgan Centre for Women's Cancers,phamilypharmacy1@gmail.com
Petrolia Foot Clinic,pharma7rx@gmail.com
pt Health - Petrolia Rehabilitation,pharmacentre@rogers.com
pt Health - Petrolia Rehabilitation,pharmaciadrugs@gmail.com
Lawrence Heights Phamily Pharmacy,pharmaciebrisson@gmail.com
Pharmacy 7,pharmacielimoges@outlook.com
Guardian Pharmacy - Brampton - Queen St E (Pharma Center),pharmacienovena@yahoo.ca
Pharmacia Drugs,pharmacist.swift@gmail.com
Pharmacia Drugs,pharmacist@apothecarepharmacy.ca
Brisson Pharmacy - Ottawa - Dalhousie St,pharmacist@apothecarium.ca
Guardian Pharmacy - Limoges,pharmacist@healthsmartpharmasave.com
PharmaChoice - Hearst (Pharmacie Novena),pharmacist@neighbourhoodpharmacy.ca
Swift Compounding Pharmacy,pharmacist@pharmacy.ca
Apothecare Pharmacy,pharmacist@pharmexdirect.com
Apothecarium Pharmacy - Sault Ste Marie,pharmacist@tmcpharmacy.ca
Pharmasave - Scarborough - 2425 Eglinton Ave E (HealthSmart),pharmacist@villagepharmacylakefield.ca
Pharmasave - Richmond Hill - 10323 Yonge St (Neighbourhood Pharmacy),pharmacy.help@metro.ca
Central Medical Pharmacy - Toronto - Sherbourne St,pharmacy@arcmedical.ca
Pharmex Direct,pharmacy@arkellmedical.ca
TMC Pharmacy,pharmacy@brdhc.on.ca
Village Pharmacy - Lakefield,pharmacy@concordsp.ca
Metro Pharmacy - Mississauga - Erin Mills Pkwy,pharmacy@enhancedcare.ca
ARC Pharmacy,pharmacy@jcc.hhsc.ca
Arkell Pharmacy,pharmacy@kohlerdrugstore.com
Pharmacy,pharmacy@lmc.ca
LMC Pharmacy - Diabetes Source,pharmacy@mallorytownhealthcentre.com
LMC Pharmacy - Diabetes Source,pharmacy@metropolitanpharmacy.ca
LMC Pharmacy - Diabetes Source,pharmacy@mlmedical.com
LMC Pharmacy - Diabetes Source,pharmacy@nkshealth.ca
Mallorytown Pharmacy and Health Centre,pharmacy@noblemedical.ca
Metropolitan Pharmacy - Scarborough,pharmacy@northmedafixcorp.ca
Metropolitan Pharmacy - Toronto - Spadina Ave,pharmacy@oakvillagemedical.com
Maple Leaf Medical Pharmacy,pharmacy@onehealthcarecentre.com
NKS Health,pharmacy@purehealthpharmacy.com
Noble Medical Clinic,pharmacy@rxconnect.ca
North Medafix Pharmacy,pharmacy@smartmeds.ca
Oakvillage Pharmacy,pharmacy@stgeorgemc.ca
One Health Pharmasave - Ajax - Rossland Rd E,pharmacy@uwindsor.ca
PureHealth Pharmacy - Barrie,pharmacy@whitecedarpharmacy.com
SmartMeds Pharmacy - Burlington - Cumberland Ave,pharmacybelmont@gmail.com
St George Pharmacy,pharmacyheritage@gmail.com
Student Centre Pharmacy,pharmacykingsway@gmail.com
Pharmacy Services,pharmacylapaix@gmail.com
White Cedar Health Care Centre - Shuniah Office - Pharmacy Services,pharmacyomni@gmail.com
Guardian Pharmacy - Belmont (Belmont Pharmacy),pharmacyriverdale@gmail.com
Heritage Park Pharmacy,pharmacystcharles@gmail.com
Pharmacie la Paix Pharmacy - Ottawa - McArthur Ave,pharmacyterrace@gmail.com
Omni Pharmacy,pharmacyzeninfo@gmail.com
Riverdale Pharmacy,pharmadocs@outlook.com
St Charles Pharmacy,pharmagreenmarkham@gmail.com
St Charles Pharmacy,pharmasave@wightman.ca
Terrace Square Pharmacy,pharmasave01@bellnet.ca
Pharmacy Zen,pharmasave642@gmail.com
Pharma-Docs - Etobicoke,pharmasave948@gmail.com
PharmaGreen Compounding Pharmacy,pharmasave9644@gmail.com
Pharmasave - Hanover,pharmasave9678@gmail.com
Pharmasave - Cookstown,pharmasave9724@gmail.com
Pharmasave - Hanmer (Valley Plaza),pharmasave9756@hotmail.com
Pharmasave - Guelph - Speedvale Ave,pharmasave9768@gmail.com
Pharmasave - Breslau Commons Pharmacy,pharmasave9772@hotmail.com
Pharmasave - Toronto - 3102 Danforth Ave (Danforth-Victoria Pharmacy),pharmasave9789@hotmail.com
Westmount Place Pharmacy,pharmasaveaurora@gmail.com
Pharmasave - Belleville - Dundas St E (Bay View Mall),pharmasavegoldenlake@bellnet.ca
Pharmasave - Sault Ste Marie - Great Northern Rd,pharmasavesimcoe739@outlook.com
Pharmasave - Stirling,pharmasavewgh@gmail.com
Pharmasave - Trenton,pharmaxpress2012@gmail.com
Pharmasave - Aurora,pharmcen@gmail.com
Pharmasave - Golden Lake,pharmr@amtelecom.net
Pharmasave - Simcoe Pharmasave,pharmtempont@gmail.com
Pharmasave - Woodstock General Hospital,pharoutmumc@hhsc.ca
PharmaChoice - Belleville,phillbrookpharmacy@gmail.com
Bloor-Dundas Pharmacy,Phoenixmedicalclinic@gmail.com
Guardian Pharmacy - Manitowaning,phong@mydrugstorenow.com
Walmart Pharmacy - Brampton Northeast Supercentre,phs_belleville@paramed.com
McMaster Drugstore,phwt@lhsc.on.ca
Phillbrook Pharmacy,physio.lvpp@gmail.com
Phoenix Medical Clinic,physio.plus@lifemark.ca
Health and Wellness,physio@arnpriorhealth.ca
Prescription Centre Pharmacy,physio@bloorjanephysio.com
Lawrence Victoria Park Physiotherapy and Rehabilitation,physio@drdh.org
Physio Plus Orthopaedic and Sports Injury Clinic,physio@hhhs.ca
Arnprior Regional Health - Arnprior and District Memorial Hospital - Outpatient Physiotherapy,physio3@bmts.com
Bloor-Jane Physiotherapy and Active Rehabilitation,physio3appointment@gmail.com
North Renfrew Health Campus,physioadvise@yahoo.ca
Physiotherapy - Outpatient and Inpatient Services,physiocareowensound@gmail.com
Physiotherapy III - Owen Sound,physiocasselman@aol.com
New Motion - Physio and Sports Rehab,physiochirowellness@gmail.com
New Motion - Physio and Sports Rehab,physiodynamicsclinic@gmail.com
Physio Care Owen Sound,physioliferehab@gmail.com
Physio Casselman,physiomoves@hotmail.com
Physio Casselman,physiosolutions@eastlink.ca
PhysioChiroWellness - Integrated Health Services,physiotherapy@oshawaclinic.com
Physio-Dynamics and Sports Medicine Centre,physiotherapy2000@live.com
Physiotherapy Sports Rehab,physiotherapyactiverehab@bellnet.ca
CBI Health Group - Physiotherapy 2000,physiotherapyadvancedrehab@rogers.com
CBI Health Group - Physiotherapy 2000,physiotherapyalliance@rogers.com
Physiotherapy Active Rehab - Orthopedic and Sports Injury Clinic,physiotherapyassociates@bellnet.ca
Physiotherapy Alliance - New Hamburg,physiotherapyone@bellnet.ca
Physiotherapy Alliance - New Hamburg,physiotherapyonfront@gmail.com
Physiotherapy Associates - Toronto - Overlea Blvd,pickering@lifemark.ca
Physiotherapy One,pickering@medrehabgroup.com
Physiotherapy One,Pickering@MyHealthCentre.ca
Physiotherapy on Front,pickeringimaging@gmail.com
Lifemark Physiotherapy - Kingston and Brock - Pickering,pickeringsportsmedicine@bellnet.ca
MedRehab Group,pikangikumnursingstation@knet.ca
Pickering Diagnostic Imaging Centre,pinecrest@reveraliving.com
Pickering Sports Medicine and Wellness Centre,pittstpharmacist@lovelldrugs.com
Pickering Sports Medicine and Wellness Centre,plainsmedicalcentre@gmail.com
Immunization Clinic,plainsrdwestpharmacy@gmail.com
Nursing Station,plainsviewpharmacy665@gmail.com
Pinecrest Manor,pleasantmanor@radiantcare.net
Fullerton Drug Store - Cornwall - Pitt St,plus50@live.ca
Aldershot Walk-in Clinic,pmc@talbottrailpt.ca
Plainsview Pharmacy,pnphysio@bellnet.ca
Pleasant Manor Retirement Village,podiatric-consultants@rogers.com
Beachcombers Seniors Club,podiumsports1@gmail.com
Talbot Trail Physiotherapy - St Thomas - Elm St,pointofbalance4@gmail.com
Awesome Physiotherapy of Richmond Hill,polonia.ave.pharmacy@gmail.com
Podiatric Consultants,portagemedicalpharmacy@gmail.com
Podium Sports Therapy & Wellness Centre,porthope@we-fix-u.com
Point of Balance Physiotherapy and Massage,portperryltc@southbridgecare.ca
Polonia Ave Pharmacy,pr@haltonhealthcare.on.ca
Portage Medical Pharmacy,pr@pemreghos.org
We-Fix-U Physiotherapy and Foot Health Centre - Port Hope,pr@prh.email
We-Fix-U Physiotherapy and Foot Health Centre - Port Hope,practice@mcimed.com
Oakville Trafalgar Memorial Hospital - Cancer Care Clinic,preain@jarlette.com
Diagnostic Imaging,premierpharmacy2012@gmail.com
Pembroke Regional Hospital,prescott.fht@gmail.com
MCI The Doctor's Office - Thornhill - Steeles Ave W (Main Exchange),prescottchiropractic@hotmail.com
MCI The Doctor's Office - Thornhill - Steeles Ave W (Main Exchange),prescriptioncentrent@lhsc.on.ca
Muskoka Landing,prescriptioncentreuh@lhsc.on.ca
Premier Pharmacy and Compounding Centre,prestonpharmasave@hotmail.com
Prescott Family Health Team,prichmond@caressantcare.com
Prescott Family Chiropractic,PrivateConsumers@paramed.com
Therapy and Rehabilitation,proactivephysio@pthealth.ca
Therapy and Rehabilitation,proactivephysioplus@gmail.com
Therapy and Rehabilitation,procare2245@gmail.com
Therapy and Rehabilitation,progresscentrepharmacy@gmail.com
Therapy and Rehabilitation,promptdocurgentcare@hotmail.com
Pro Active Physiotherapy and Injury Rehabilitation Centre,prophysio2@gmail.com
Procare Pharmacy - Scarborough,prophysiotherapy@hotmail.com
PromptDoc Urgent Care Clinic,prorenatarx@gmail.com
Pro - Physiotherapy,prosser@mitchellmedicalpharmacy.ca
Pro - Physiotherapy,PRpharmasave@gmail.com
Professional Physiotherapy Centre,ps937@thedispensary.ca
Prorenata Pharmacy,psych@mrfservices.ca
Mitchell Medical Pharmacy,pt@symetricsonline.com
Pharmasave - Port Rowan,ptclinic2345@gmail.com
Pharmasave - Woodstock - Huron St Dispensary,ptotclin@queensu.ca
Moss,ptservicestoronto@gmail.com
Symetrics - Institute for Integrated Physical Rehabilitation - North Bay,publicaffairs@sah.on.ca
Physical Therapy Services,publichealth@county-lambton.on.ca
Physical Therapy Services,publichealth@hamilton.ca
Algoma District Cancer Program,publichealth@publichealthgreybruce.on.ca
Community Vaccine Clinics,publichealth@regionofwaterloo.ca
Ontario Seniors Dental Care Program,publichealth@toronto.ca
Immunization Information Centre,publicrelations@rmh.org
Immunization Information Centre,publicrelations@stegh.on.ca
Emergency Department,publicrelations@thc.on.ca
Emergency Department,qcpshepard@hotmail.com
Trillium Health Partners - Women's Health Services,qsqpharmacy@yahoo.ca
Trillium Health Partners - Women's Health Services,quality@brockvillegeneralhospital.ca
Complex Continuing Care,qualitycare@lifemark.ca
Publicly Funded Hospital Based Physiotherapy Clinic,quarrymedical@gmail.com
Gynecology Clinic,quarrymedicalchiropractic@gmail.com
Diagnostic Imaging,queencarepharmacy@gmail.com
Quality Care Physiotherapy,queenlakepharmacy@gmail.com
Quality Care Physiotherapy,queenlynchpharmacy@bellnet.ca
Foot Care Clinic,queenmedicalcentre128@gmail.com
Chiropractic,queensquaymedicalfho@gmail.com
Queen Lake Pharmacy,queenston@ptgpharmacy.com
Queen-Lynch Pharmacy,queenston_clinic2012@hotmail.com
Queen Medical Centre - Walk-in Clinic and Family Practice,queenstonpharmastar@bellnet.ca
Queen's Quay Medical Centre,queenstonphysio@pthealth.ca
PTG Pharmacies - Hamilton - Queenston Rd (Queenston Pharmacy),queenswayphysio@rogers.com
Queensway Physiotherapy Centre,questions@sunnybrook.ca
Transition Care Clinic,questions@vinapharmacy.ca
Louise Temerty Breast Cancer Centre - Young Women with Breast Cancer Program - PYNK,quickmed@ptgpharmacy.com
Head and Neck Clinic,quinnrehab@gmail.com
Holland Orthopaedic and Arthritic Centre - Holland Musculoskeletal Program (Progression),quintephysio@bellnet.ca
Quick-Med Pharmacy,radiantultra@outlook.com
Quinn Rehab Services,rainbowpharmasavefs@gmail.com
Quinn Rehab Services,rainyriverdrugs@hotmail.ca
Achieva Health - Belleville - OHIP Insured Physiotherapy Clinic,rapidrehabcanada@gmail.com
Radiant Medical Imaging - Scarborough,rapidspharmacy@hotmail.com
Rainbow Pharmasave - Angus,rar@trilliumimaging.ca
PharmaChoice - Sarnia (Rapids),rathburn.pharmacy@gmail.com
Ontario Diagnostic Centre (ODC) - Etobicoke - Rexdale Blvd,rchaput@countyofrenfrew.on.ca
County of Renfrew Paramedic Services - Rankin - Wellness Clinic,rcurrie@pellowpharmasave.com
County of Renfrew Paramedic Services - Renfrew - Argyle St S - Wellness Clinic,reception.isw@gmail.com
County of Renfrew Paramedic Services - Renfrew - Raglan St - Wellness Clinic,reception.nkhc@gmail.com
County of Renfrew Paramedic Services - Stonecliffe - Wellness Clinic,reception@boltonimaging.ca
County of Renfrew Paramedic Services - Westmeath - Wellness Clinic,reception@camawoodlands.ca
Pharmasave - Walkerton (Pellow),reception@centrerogerseguin.org
Innovative Spine and Wellness,reception@enhancedcare.ca
Enhanced Care Medical Clinic - Keswick,Reception@ExcellenceHC.ca
Enhanced Care Medical Clinic - Beeton,reception@fairwayphysio.ca
Enhanced Care Medical Clinic - Aurora East,reception@huroniaphysiotherapy.com
Enhanced Care Medical Clinic - Brampton,reception@livewellcentre.com
Excellence Health Care X-Ray and Ultrasound,reception@matawa.on.ca
Fairway Physiotherapy - Fairway Physiotherapy and Sport Injury Clinic - Community Physiotherapy Clinic - Progression and Maintenance,reception@mesasrx.com
Huronia Physiotherapy and Chiropractic - Midland - Penetanguishene Rd,reception@ndfht.ca
Huronia Physiotherapy and Chiropractic - Midland - Penetanguishene Rd,reception@nixonwalkin.ca
Live Well Centre (The),reception@nyhealth.ca
Mesa's Compounding Pharmacy,reception@ottawavalleymri.com
Nipigon District Family Health Team,reception@palmsmedicalcentre.com
Nixon Walk-In Clinic,reception@qxplore.com
North York Healthcare Associates,reception@rrfns.com
North York Healthcare Associates,reception@stpeterscc.ca
Ottawa Valley MRI Centre,reception@tbmed.ca
Palms Medical Centre,reception@wcfht.ca
Chiropractic and Kinesiology,reception@weenusk.ca
St Peter's Residence at Chedoke,reception@windigo.on.ca
Radiography Services,reception@windsorfht.ca
West Carleton Family Health Team,reception@xray365.ca
Dental Services,reception@yorkrehab.com
Health Services,receptioncentral@fpclondon.com
York Rehab,receptioncloverdale@enhancedcare.ca
Family Physiotherapy Centre of London - South London,reception-csg@mri.ca
Family Physiotherapy Centre of London - South London,receptiondundas@enhancedcare.ca
Publicly-Funded Physiotherapy,receptionist@nibinamikfn.ca
Publicly-Funded Physiotherapy,receptionls@enhancedcare.ca
Enhanced Care Clinic - Cloverdale,receptionnorth@fpclondon.com
Nursing Station,receptionth@enhancedcare.ca
Enhanced Care Clinic - Lakeshore,recep-wcp@rekaicentres.com
Rekai Centres - Wellesley Central Place,recoverymuskoka@outlook.com
Rekai Centres - Wellesley Central Place,refills@gvpharmacy.com
Rekai Centres - Wellesley Central Place,refills@myshepherdpharmacy.com
Rekai Centres - Wellesley Central Place,regencyltc@southbridgecare.ca
Rekai Centres - Wellesley Central Place,rehab@informphysio.ca
Regency Manor Nursing Home,rehabplus@westpark.org
In-Form Physiotherapy and Rehabilitation Centre,rehobothclinic@bellnet.ca
In-Form Physiotherapy and Rehabilitation Centre,rekaireception@rekaicentre.com
In-Form Physiotherapy and Rehabilitation Centre,remedysrx348@gmail.com
Chiropody and Orthotics (Progression),renewmedicalclinics@gmail.com
Physiotherapy (Progression),requisitions@kmhlabs.com
Rehoboth Family Health Clinic,restorephysio@eastlink.ca
Rekai Centres - Sherbourne Place,retailpharmacy@providence.on.ca
Muskoka Medical Centre Pharmacy,retailpharmacy@sah.on.ca
Renew Medical Clinics - Caremed Pharmacy,revvedup@queensu.ca
KMH Cardiology Centres - Scarborough,rgreen79@rogers.com
Restore Physiotherapy Timmins,rhsdus@gmail.com
Providence Outpatient Pharmacy,richmondhill@medrehabgroup.com
Revved Up - Exercise program,richmondhill@novohealthnet.com
Guardian Pharmacy - Alliston - 33 Victoria St W,richmondpharmacy@yahoo.com
Richmond Hill Sound Diagnostic,richviewpharmacy@gmail.com
Medrehab Group - Richmond Hill,ricklee@sympatico.ca
Novo Healthnet - Richmond Hill,rideaucresthome@cityofkingston.ca
Richmond Pharmacy - Chatham,riepertpharmacy@gmail.com
Richview Pharmacy,river.ridge@lifemark.ca
Bridlewood Chiropractic Centre,river7775@gmail.com
Bridlewood Chiropractic Centre,riverbendpharm@gmail.com
Rideaucrest Home,rivermont@medcaredrugmart.com
Pharmasave - Riepert Pharmacy,riverside@rhcf.on.ca
Riverside Health Care Facilities Inc - Emo Health Centre,riversidecourt@rideaufht.ca
Urgent Care Clinic,riversidedrugstore@gmail.com
Riverside Health Care Facilities Inc - Rainy River Health Centre,riversideplace@reveraliving.com
Riverside Health Care Facilities Inc - Fort Frances - Rainycrest Long Term Care Facility,riverview@intrepidhealthgroup.com
Long Term Care Facility,rlc1971@outlook.com
Rideau Family Health Team - Riverside Court Medical Clinic,rlma@redlakehospital.ca
Specialty Rx - Ottawa - Riverside Dr,rlwiesner@rogers.com
Riverside Place,rmcgill@sjfltc.com
Intrepid Medical Centre Riverview Heights,rmcreception@regentmedical.com
Lakeshore Medical Center - Belle River,rnursing@wpshc.com
Walk-In Urgent Care Clinic,rob@robspharmacy.com
Massage Rx - Registered Massage Therapy,robinsonphysiotherapy@ontera.net
Regent Medical Clinic,Rochelle.Atkins@WestPark.org
Rosseau Nurse Practitioner Led Clinic,rockwoodpharm@bellnet.ca
Robinson Physiotherapy Services - Wawa,rodriguep@ndh.on.ca
General Complex Continuing Care,roma.pharmacy@romapharmacy.ca
Immunization Clinic,rosspharmacist@lovelldrugs.com
Rockwood Pharmacy,rougemountphysiotherapy@rogers.com
Rockwood Pharmacy,rougevalley@lifemark.ca
Roma Pharmacy,royalwest.pharmacy@hotmail.com
Lovell Drugs - Oshawa - Rossland Rd W,RPAdmin@universalcareinc.ca
Lifemark Physiotherapy and Sport Medicine- Rouge Valley - Scarborough,rpaquette@nshn.care
Lifemark Physiotherapy and Sport Medicine- Rouge Valley - Scarborough,rph@oxfordpharmacy.ca
Royal West Pharmacy,russettrehab@gmail.com
Chateau Park Long Term Care Home,russolo@bellnet.ca
Long-Term Care Unit - Golden Birches Terrace,russsell.roth@sjhc.london.on.ca
Oxford Pharmacy,rutherfordguardian@hotmail.com
Russett Rehabilitation and Wellness Clinic,rwellsbury@headwatershealth.ca
Russolo Therapy Centre,rx@doonvillagepharmacy.ca
Regional Sexual Assault and Domestic Violence Treatment Program,rx@emichael.ca
Guardian Pharmacy - Woodbridge - Rutherford Rd (Rutherford),rx@kirklandpharmacy.com
Guardian Pharmacy - Woodbridge - Rutherford Rd (Rutherford),rx@pacepharmacy.com
Sexual Assault and Domestic Violence,rx@parkdalepharmacy.ca
Doon Village Pharmacy,rx@pharmacy101.ca
Kirkland Pharmacy,rx@raxlenpharmacy.com
Pace Pharmacy - Leaside,rx4807@sobeys.com
Parkdale Pharmacy,rx4809@sobeys.com
Pharmacy 101,rx4811@sobeys.com
Pharmacy 101,rx4812@sobeys.com
Raxlen Pharmacy,rxcentrum@gmail.com
Safeway Pharmacy - Thunder Bay - Court St,rxdm5002@rxdm.ca
Safeway Pharmacy - Fort Frances,rxpharmacist@lovelldrugs.com
Safeway Pharmacy - Thunder Bay - Arthur St W,rymalgagepharmacy@gmail.com
Safeway Pharmacy - Thunder Bay - Dawson Rd,s.knighton.dc@gmail.com
Pharmacie Centrum Pharmacy - Orleans - Centrum Blvd,s.masse@bluewaterresthome.com
Lovell Drugs - Oshawa - Gibb St,sadiapharm@outlook.com
Rymal Gage Pharmacy,safensoundresidence@gmail.com
Glen Abbey Physiotherapy of Oakville,safina_torontohealthcare@rogers.com
Cardio Vascular Awareness Program (CHAP),sales@jmhealthessentials.com
Sadia's Pharmacy,sales@pharmacentro.ca
East York Diagnostic Ultrasound Services,sallyspharmasave@gmail.com
J and M Health Essentials and Pharmacy,sam@clancysdrugs.ca
J and M Health Essentials and Pharmacy,samydrugmart@gmail.com
Pharma Centro,sandalwood.pharmacy@gmail.com
Pharmasave - Owen Sound (Sally's Pharmacy),sandalwoodcarepharmacy@yahoo.ca
Clancy's Drug Store,sandalwoodchiropractic@hotmail.com
Samy's Drug Mart,sandalwooddrugs@yahoo.ca
City Pharmacy,sandycovedrugstore@gmail.com
Sandalwood Medical Pharmacy,sarah.milner@clfht.com
Sandalwood Chiropractic and Wellness Centre,sarahwillett30@gmail.com
Sandalwood Drugs Pharmacy,sarmstrong@lifeafterfifty.ca
Sandy Cove Drug Store,sarnia.diagnostic@outlook.com
Central Lambton Family Health Team,sarnia@bioped.com
Chiropody,saurabh.bhatnagar@schlegelvillages.com
Lorrie's Foot Care Clinic,savantcontactus@gmail.com
Foot Care Clinic,sbakhoum@bayshore.ca
Bayshore Specialty Rx,scarborough.finch@yeehong.com
Specialty Pharmacy Services,scarborough.mcnicoll@yeehong.com
Specialty Pharmacy Services,scarborough@cbi.ca
Long-Term Care Home,scarborough@lifemark.ca
CBI Health Centre - Scarborough,scarborough@specialtyrx.ca
Lifemark Physiotherapy - Scarborough Village - Scarborough,scarrad@yahoo.ca
Lifemark Physiotherapy - Scarborough Village - Scarborough,scdc-info@bell.net
Lifemark Physiotherapy - Scarborough Village - Scarborough,schulich.dentistry@schulich.uwo.ca
Trillium Drug Mart Pharmacy - Scarborough,scil@sunnybrook.ca
3000 Lawrence Medical Imaging,scottfield@novohealthnet.com
Outpatient Chiropody/Podiatry Clinic,scottphysioclinic@gmail.com
Novo Peak Health - Scottfield,scpt@lifemark.ca
Novo Peak Health - Scottfield,screenforlife@cancercare.on.ca
Scott Physiotherapy Clinic,scugog@communitycaredurham.on.ca
Scott Physiotherapy Clinic,sdesgagne@extendicare.com
St Catharines Physiotherapy Centre,sdormani@naturalsolewellness.ca
Ontario Breast Screening Program (OBSP),seeleysbaychiropractic@gmail.com
Foot Care Clinic,sendrx@valuepluspharmacy.ca
Seeley's Bay Family Chiropractic,seneca.trinidad@yahoo.com
Value Plus Pharmacy - Scarborough - Finch Ave E,seniorswellness@lifemark.ca
Seneca Medical Foot Care,sensesphysiotherapy@gmail.com
Seneca Medical Foot Care,service@eclinicpharmacy.ca
Seneca Medical Foot Care,serviceinquiries@leadingedgephysiotherapy.ca
Seneca Medical Foot Care,sesawayphhsio@gmail.com
Senses Physiotherapy & Massage Clinic - Ottawa - Baseline Rd,sfarren@jarlette.com
PharmaChoice - Espanola Clinic Pharmacy,sffc@cogeco.net
Leading Edge Physiotherapy Centre,sfh@storefronthumber.ca
Seaway Physiotherapy Centre - OHIP-insured physiotherapy clinic,sfpc@rogers.com
Manitoulin Lodge Long Term Care - Gore Bay,sfriesner@jarlette.com
Smiths Falls Family Chiropractic,sgolden@cornwall.ca
Foot Care,sgray@portperrymedical.ca
Shelburne Physiotherapy Centre,sharonmedicalclinic@gmail.com
Villa Care Centre (The),sheerphysiotherapy@gmail.com
Glen-Stor-Dun Lodge,shelburne@gooddoctors.ca
Medical Associates of Port Perry,shelburnetownpharmacy@gmail.com
Medical Associates of Port Perry,shelley@heartspacept.com
Sharon Medical Clinic,shellington@brantfordradiologygroup.com
Sheer Health Physiotherapy,sheltonphysio@bellnet.ca
Shelburne Town Pharmacy,sheppardpharmacy@gmail.com
HeartSpace Physical Therapy for Children,sheppardwardenphy@gmail.com
Brantford Radiology Group - Shellington Imaging Clinic,sheridanpharmacy@yahoo.com
Shelton Physiotherapy Associates,sheridanvilla@peelregion.ca
Shelton Physiotherapy Associates,shha.administration@shha.on.ca
Gynecology Clinic,shivji3363@gmail.com
Laboratory Services,sholder432@gmail.com
Laboratory Services,sholster@southbridgecare.ca
Diagnostic Imaging Department,shopritepharmacy1@gmail.com
Diagnostic Imaging Department,silverheights.enterprise@gmail.com
York Radiology Consultants and The Breast Centre,simcoe.manor@simcoe.ca
Communication Speech Therapy,simcoesquarepharmacy@hotmail.com
Chelsey Park Nursing Home,singarspharmacy@gmail.com
Shoprite Pharmacy - Oshawa,sixpointsphysio@pthealth.ca
Six Points Physiotherapy and Rehabilitation - pt Health,sjcg@tbh.net
Six Points Physiotherapy and Rehabilitation - pt Health,Skyharbour50@outlook.com
Ambulatory Care Clinics,skywardactivehealth@gmail.com
Bethammi Nursing Home,slamirante@mattawahospital.ca
St George Pharmacy,sld-ltc@bruyere.org
Skyward Active Health Centre,sldmc2525@gmail.com
Physiotherapy,slewis@strathroymedicalclinic.com
Orl??ans - 879 Hiawatha Park Rd - R??sidence Saint-Louis - Long-Term Care Home,smartpharmacy@mail.com
??lisabeth Bruy??re Residence,smithsfalls@optimumhealthclinics.com
St Lawrence District Medical Centre,smithsfallsphysio@bellnet.ca
Strathroy Medical Clinic,smorin@noelvillepharm.ca
Smart Pharmacy,smtc@rogers.com
Optimum Health Clinic: Chiropractic,socialreception@mbq-tmt.org
Alban Pharmacy,sos-physio-campus@rogers.com
Sutton Massage Therapy Clinic,sparklepharmacy@gmail.com
Community Health - Oral Health,specialtypharmacy@innomar-strategies.com
Community Health - Public Health Awareness and Prevention,specialtyrxkingston@gmail.com
